gɹæs	kɹas
bɹi	pɹi
sneɹt	sneɹd
βɔf	bɔf
afp	afp
ɸœk	pɛg
seɹt	seɹt
nɹiɹf	nɹɪɹf
bɹins	pɹɪns
pɸiɹk	pfiɹg
ɹep	ɹep
zuk	dʊk
ɹist	ɹɪst
tsɛt	tsɛd
sɹɛɹt	sɹɛɹd
zis	dis
sens	tens
dɹeɹt	dɹeɹd
pɸuns	pfʊns
fɹek	fɹeg
zip	dip
ɸœst	pɛst
fɹuɹs	fɹʊɹs
bɹif	bɹif
sil	sil
qu	kʊ
siɹp	tiɹp
snes	snes
snit	snɪt
dɹæp	tɹap
sip	tɪp
xep	keb
βœf	bɛf
fɹæt	fɹat
gɹæk	gɹag
nɹæn	nɹan
dɹifp	tɹifp
dɹuɹp	tɹʊɹp
βiɹk	biɹk
fɹɛɹk	fɹɛɹg
fet	fed
lɹɛɹp	lɹɛɹp
nuɹf	nuɹf
fɹɛɹl	fɹɛɹl
gɹit	gɹɪt
bɹis	pɹɪs
nɹɛp	nɹɛp
fuɹp	fuɹp
noɹs	noɹs
βop	bop
zist	dist
sna	sna
tsun	tsʊn
βøɹp	beɹp
ɣik	gɪg
nɹɔs	nɹɔs
dɹun	dɹʊn
lɹuɹf	lɹuɹf
gɹɛɹ	gɹɛɹ
gɹup	gɹʊb
snup	snʊb
bɹefp	bɹefp
fɔɹk	fɔɹk
sins	sins
dɹɛt	tɹɛd
sɹul	sɹʊl
nuɹt	nuɹt
læɹk	laɹg
fit	fɪd
læns	lans
sɔns	sɔns
pɸiɹs	pfiɹs
sɹu	sɹʊ
dɹoɹ	dɹoɹ
ul	ul
pɸuɹp	pfuɹb
βif	bif
ɣɛk	gɛk
bɹiɹk	pɹɪɹg
sniɹ	sniɹ
nɹæk	nɹak
ol	ol
et	et
luk	luk
ɣeɹp	geɹp
nuɹt	nʊɹd
dɹeɹk	tɹeɹg
bɹiɹk	bɹiɹg
dɹɔk	tɹɔk
bɹiɹp	bɹiɹb
tsuɹp	tsuɹb
næk	nak
ɹɔɹs	ɹɔɹs
fɛɹs	fɛɹs
βuɹp	bʊɹp
ɸip	pip
tsons	tsons
dɹæl	tɹal
nɔst	nɔst
nɹoɹt	nɹoɹt
ɢufp	gʊfp
pɸip	pfip
tæp	tap
gɹɛn	gɹɛn
fɹons	fɹons
suɹp	tuɹp
ɣɛɹ	gɛɹ
it	ɪd
gɹoɹs	kɹoɹs
bɹæɹt	bɹaɹd
nɹit	nɹɪt
ɹɛp	ɹɛp
xeɹp	keɹp
xiɹs	kiɹs
dɹifp	dɹifp
snuns	snʊns
dɹɔfp	dɹɔfp
gɹæp	kɹab
dɹæɹp	dɹaɹb
ɸøt	pet
nuɹf	nʊɹf
fep	fep
lɹup	lɹʊp
βɶt	bad
bɹiɹn	pɹɪɹn
uns	ʊns
dɹup	dɹʊb
lef	lef
ɣes	ges
gɹɔ	kɹɔ
zɛɹp	dɛɹp
ip	ɪb
qok	kok
nɔ	nɔ
ɹufp	ɹufp
bɹoɹp	pɹoɹb
gɹis	gɹis
tsiɹ	tsiɹ
soɹk	toɹk
sof	sof
fɹot	fɹod
lɹoɹl	lɹoɹl
ziɹp	dɪɹp
kæɹf	kaɹf
fiɹp	fiɹb
zeɹl	deɹl
ɹɛɹf	ɹɛɹf
sɹuɹ	sɹuɹ
nɹiɹ	nɹiɹ
eɹl	eɹl
fɹɔɹk	fɹɔɹk
pɸoɹk	pfoɹg
sul	tʊl
lɛɹt	lɛɹt
sæns	sans
uɹs	uɹs
gɹip	gɹɪb
ɹiɹ	ɹiɹ
zeɹ	deɹ
dæp	dab
bɹæɹ	pɹaɹ
lɹuns	lɹʊns
liɹt	liɹd
snɔst	snɔst
nɔɹp	nɔɹp
lɹɛɹ	lɹɛɹ
dæf	daf
uɹt	ʊɹd
lɛfp	lɛfp
noɹ	noɹ
lif	lif
nɹɔɹk	nɹɔɹg
fɛɹn	fɛɹn
fɹæɹp	fɹaɹp
qup	kʊp
fɔɹp	fɔɹb
xiɹf	kiɹf
fɹip	fɹɪp
byɹf	bɪɹf
nɹuf	nɹʊf
ɹi	ɹi
sɹip	sɹib
pɸiɹp	pfɪɹp
næɹt	naɹt
suɹk	suɹg
dɹeɹs	dɹeɹs
tsɛɹn	tsɛɹn
gɹɛk	kɹɛg
bɹoɹ	bɹoɹ
tsæɹ	tsaɹ
nɹuɹ	nɹʊɹ
gɹiɹn	gɹɪɹn
ɣens	gens
niɹt	niɹd
nip	nip
lɛɹk	lɛɹg
fɹut	fɹʊt
eɹs	eɹs
dɹiɹt	dɹɪɹd
dɹiɹf	tɹɪɹf
nof	nof
qɔs	kɔs
ɹɔk	ɹɔk
lɹiɹk	lɹiɹg
kæk	kak
ɸøp	peb
fɹuɹ	fɹuɹ
sifp	tɪfp
sɹɛns	sɹɛns
ɣeɹt	geɹt
dɹɛf	dɹɛf
tsik	tsɪk
ɸiɹp	piɹb
βup	bub
sneɹp	sneɹp
lok	lok
snɛɹp	snɛɹb
ɣɛɹs	gɛɹs
bɹoɹf	bɹoɹf
xip	kɪp
leɹ	leɹ
lɹol	lɹol
tsust	tsust
soɹs	toɹs
bɹɛf	pɹɛf
gɹuɹ	gɹuɹ
fɹæn	fɹan
fɔs	fɔs
tsiɹt	tsɪɹd
dɹon	dɹon
zoɹs	doɹs
sɹæst	sɹast
ɣiɹt	gɪɹt
funs	funs
lɹeɹp	lɹeɹp
snuf	snʊf
gɹip	kɹɪp
xɛn	kɛn
dɹɛ	dɹɛ
snæl	snal
fɹip	fɹɪb
dɹot	dɹod
pɸif	pfif
siɹk	tɪɹk
dɹut	dɹut
nɹeɹk	nɹeɹg
nɹu	nɹu
βon	bon
ɢop	gob
lɔfp	lɔfp
ɣefp	gefp
ɣep	geb
sɹiɹt	sɹɪɹt
xɛs	kɛs
nɹæf	nɹaf
gɹæn	kɹan
sɹɛl	sɹɛl
lɔk	lɔk
fɹiɹf	fɹiɹf
byn	bɪn
lɹɔɹn	lɹɔɹn
βɔst	bɔst
dɹiɹp	dɹɪɹp
gɹiɹk	gɹiɹg
fiɹt	fiɹd
βoɹt	boɹd
bɹæɹk	pɹaɹg
dɹufp	dɹʊfp
pɸoɹf	pfoɹf
bɹos	bɹos
bɹuns	pɹʊns
ɹɛ	ɹɛ
lins	lins
lɛn	lɛn
ɹɔ	ɹɔ
sok	tog
pyɹn	pɪɹn
let	let
lɹust	lɹust
soɹf	toɹf
bɹɛɹp	bɹɛɹb
sop	top
nuk	nʊg
fuɹt	fuɹt
tæs	tas
snæt	snat
gɹe	kɹe
xiɹp	kiɹb
gɹæɹn	kɹaɹn
xik	kɪg
ɣif	gif
lɛt	lɛd
xist	kɪst
lɹoɹn	lɹoɹn
ɸœɹk	pɛɹk
lɛɹl	lɛɹl
dɹæns	tɹans
gɹoɹs	gɹoɹs
sɹɔt	sɹɔd
gɹiɹt	gɹɪɹt
βuɹt	buɹt
ost	ost
dɹɔɹ	tɹɔɹ
ɸɶfp	pafp
bɹit	pɹit
li	lɪ
ɣɛɹk	gɛɹg
pɸæs	pfas
dɹet	tɹed
iɹf	iɹf
pɸoɹk	pfoɹk
gɹiɹt	gɹiɹd
soɹn	soɹn
βɔɹt	bɔɹt
bɹik	bɹig
sɹɔɹp	sɹɔɹb
ɢoɹn	goɹn
bɹuɹt	pɹʊɹt
gɹɔɹ	kɹɔɹ
tsɛɹk	tsɛɹg
dɹoɹf	dɹoɹf
pɸon	pfon
nɹɔɹ	nɹɔɹ
βœɹs	bɛɹs
dɹo	dɹo
snut	snʊt
lɹeɹk	lɹeɹk
ɹut	ɹʊt
sit	sɪt
βuɹk	buɹg
sɹuf	sɹʊf
pɸæp	pfap
ɸoɹn	poɹn
ɸøɹp	peɹp
set	tet
bɹɛl	bɹɛl
fɹɛɹt	fɹɛɹd
ɢup	gʊb
dɹæl	dɹal
tæɹ	taɹ
lɹɔk	lɹɔg
pɸost	pfost
nɹin	nɹin
zoɹt	doɹt
ɸɔɹl	pɔɹl
ɹens	ɹens
dɹun	tɹun
βøk	beg
nek	nek
βɶɹ	baɹ
nɹɔt	nɹɔd
pɸeɹ	pfeɹ
nɹɛɹt	nɹɛɹd
snuɹp	snuɹp
ɛns	ɛns
py	pɪ
sɹif	sɹif
lɹuɹl	lɹuɹl
gɹæl	gɹal
gɹæɹf	kɹaɹf
ɸik	pik
ziɹl	diɹl
xɛɹp	kɛɹb
fɹæɹs	fɹaɹs
ɹuɹp	ɹuɹb
ɹuɹl	ɹʊɹl
gɹiɹp	gɹɪɹp
pɸi	pfi
sun	tʊn
dɹɔp	dɹɔp
sɔɹp	sɔɹb
fɹɔfp	fɹɔfp
dɹoɹk	tɹoɹg
dɹop	dɹop
lɹip	lɹip
bɹoɹs	bɹoɹs
gɹiɹl	gɹiɹl
nɔɹn	nɔɹn
bɹæɹf	pɹaɹf
xɛɹf	kɛɹf
pɸɛst	pfɛst
sɔɹk	sɔɹg
dɹof	dɹof
dɹiɹp	tɹiɹp
sɔɹp	tɔɹp
zɛ	dɛ
lɹiɹs	lɹɪɹs
iɹp	iɹb
snæk	snag
sɛ	tɛ
uɹn	ʊɹn
ɸøk	peg
ɢuns	guns
ɹɔɹk	ɹɔɹg
quɹt	kʊɹt
nɹoɹl	nɹoɹl
kæɹk	kaɹk
nɹet	nɹet
ɹɛk	ɹɛg
fok	fok
bɹiɹt	pɹiɹd
liɹt	liɹt
liɹp	lɪɹp
βɔp	bɔb
ɢɔs	gɔs
nɹɔns	nɹɔns
fɹuɹk	fɹʊɹg
ɹiɹt	ɹɪɹd
gɹufp	gɹufp
nɹɔk	nɹɔg
pɸep	pfep
gɹost	kɹost
kæɹp	kaɹb
gɹɛp	kɹɛb
gɹɔk	kɹɔk
dɹip	tɹib
dɹɔɹp	tɹɔɹb
dɹæn	dɹan
fɔns	fɔns
bɹɔɹ	pɹɔɹ
pɸɔɹt	pfɔɹd
xɛɹn	kɛɹn
fu	fʊ
zifp	dɪfp
fɹɛɹk	fɹɛɹk
fɹup	fɹub
bɹuɹt	bɹʊɹd
sɹist	sɹist
dɹi	dɹɪ
sit	tɪt
ɹuɹp	ɹʊɹb
βiɹt	biɹt
gɹust	kɹust
lɹeɹk	lɹeɹg
ɹuk	ɹuk
gɹist	gɹɪst
kæp	kab
fik	fɪg
zin	din
pɸet	pfed
ziɹk	diɹg
ɢɔɹk	gɔɹg
gɹik	kɹik
dɹɛɹk	dɹɛɹg
nɔk	nɔg
tsɛs	tsɛs
lɹæɹt	lɹaɹt
lɹuɹt	lɹuɹd
nɹe	nɹe
ɸøs	pes
lin	lin
fɹɛk	fɹɛk
dɹɔst	dɹɔst
sɹeɹs	sɹeɹs
kæn	kan
tsuɹt	tsʊɹt
ɣet	get
qul	kʊl
i	i
gæɹt	gaɹd
sɹuɹt	sɹuɹd
ɹɛt	ɹɛt
dɹuns	dɹuns
ɣiɹl	giɹl
bɹæfp	bɹafp
gæl	gal
qoɹk	koɹg
snɔn	snɔn
fɹis	fɹɪs
snɔ	snɔ
lɹɛɹs	lɹɛɹs
snæs	snas
zi	di
lɹiɹp	lɹɪɹp
dɹup	dɹub
lɹæɹs	lɹaɹs
snɔs	snɔs
snɛt	snɛd
bɹɔp	pɹɔb
sɔl	tɔl
bɹæt	pɹat
sɛk	tɛg
lip	lɪb
bɹu	pɹu
fɹɛt	fɹɛt
nɹuɹk	nɹʊɹk
pɸɔɹk	pfɔɹg
βut	bʊd
gɹufp	kɹufp
siɹk	sɪɹk
gɹuɹs	kɹuɹs
ɢoɹk	goɹk
pɸok	pfok
læɹt	laɹt
zeɹk	deɹk
βɔns	bɔns
bɹuɹk	pɹuɹg
gɹɔɹs	gɹɔɹs
fis	fis
zul	dʊl
dɹæt	tɹad
ɢun	gʊn
suɹp	suɹb
sɹɛɹk	sɹɛɹk
pɸup	pfub
fɹoɹn	fɹoɹn
sɹef	sɹef
gɹes	gɹes
aɹn	aɹn
βøɹl	beɹl
gɹif	gɹif
quf	kuf
dɹuɹp	dɹuɹb
lɹɔɹk	lɹɔɹk
snæɹn	snaɹn
fɹuɹt	fɹuɹt
snɔp	snɔb
suns	tʊns
luɹt	luɹd
sɹæf	sɹaf
lɹæf	lɹaf
gɹiɹf	kɹiɹf
seɹt	teɹt
lɹifp	lɹɪfp
pɸɛfp	pfɛfp
gɹoɹl	gɹoɹl
nɛɹt	nɛɹd
dɹɛɹk	dɹɛɹk
dɹeɹt	tɹeɹt
lɹen	lɹen
niɹk	niɹg
gɹɔk	gɹɔk
lɹɔl	lɹɔl
ifp	ɪfp
ɸɶɹk	paɹk
snɔɹs	snɔɹs
qot	kot
snuns	snuns
gɹiɹs	gɹɪɹs
ɣeɹl	geɹl
bɹeɹk	bɹeɹg
gɹɔf	kɹɔf
qost	kost
zu	dʊ
lɔns	lɔns
fæt	fad
snuɹt	snʊɹt
ik	ik
qɔɹt	kɔɹt
fiɹs	fiɹs
ɹuɹk	ɹʊɹg
pɸi	pfɪ
ɹɛɹk	ɹɛɹk
snist	snɪst
pyk	pɪg
ɣɛfp	gɛfp
ɸuns	pʊns
pɸɛ	pfɛ
dɹiɹn	tɹiɹn
bɹot	bɹod
at	ad
byk	bɪg
ɔst	ɔst
seɹk	teɹg
pɸæl	pfal
nɹifp	nɹɪfp
fɹost	fɹost
siɹt	tiɹt
bɹuɹt	pɹuɹt
ɛɹt	ɛɹd
neɹs	neɹs
dɹuɹp	tɹuɹp
xɛp	kɛb
sɹins	sɹins
snins	snɪns
fɹiɹk	fɹɪɹk
luns	lʊns
βɶɹt	baɹd
βɶɹf	baɹf
βus	bʊs
sæɹ	saɹ
sɔɹk	tɔɹk
xiɹp	kɪɹb
βiɹk	biɹg
gɹɛɹp	kɹɛɹp
ɹiɹk	ɹiɹk
βøp	beb
eɹp	eɹp
βɶl	bal
lɹust	lɹʊst
dɹot	tɹod
βøn	ben
fɹɛɹp	fɹɛɹb
gɹiɹp	gɹiɹp
ɹis	ɹɪs
sæt	sad
sɹons	sɹons
siɹf	tiɹf
tsɔf	tsɔf
næns	nans
ɣiɹt	gɪɹd
pɸuɹn	pfʊɹn
tæk	tag
qɔɹk	kɔɹg
tsuɹf	tsʊɹf
ɹiɹk	ɹiɹg
zɔ	dɔ
qɔɹn	kɔɹn
suɹk	sʊɹg
sɹoɹt	sɹoɹt
dɹins	tɹɪns
lut	lut
sɔ	tɔ
bɹɔt	pɹɔt
lus	lus
dɹæst	tɹast
nɹis	nɹɪs
fiɹ	fiɹ
lofp	lofp
kæk	kag
nɹiɹn	nɹiɹn
niɹp	nɪɹb
lɹet	lɹet
ɹa	ɹa
fɹet	fɹet
soɹp	toɹp
siɹk	siɹg
soɹt	toɹd
lɹɔ	lɹɔ
ak	ag
nɹep	nɹeb
quɹp	kʊɹp
fɹiɹs	fɹɪɹs
βuɹl	buɹl
lɛɹp	lɛɹb
fiɹs	fɪɹs
pɸɛn	pfɛn
βi	bi
ɹot	ɹod
βɔk	bɔk
lun	lʊn
pɸɔɹt	pfɔɹt
ɢuɹ	guɹ
bɹuf	pɹuf
βuk	buk
fɹil	fɹɪl
snɛk	snɛg
ɔɹ	ɔɹ
dɹons	dɹons
zun	dun
fɹæɹl	fɹaɹl
βuɹn	buɹn
soɹp	soɹp
bɹɔn	pɹɔn
dɹel	tɹel
pɸɔp	pfɔp
lɛɹf	lɛɹf
qɔɹt	kɔɹd
dɹæɹl	dɹaɹl
bɹiɹt	bɹiɹd
bɹuk	pɹug
gɹik	kɹɪg
dɹuɹk	tɹuɹk
lɹiɹf	lɹɪɹf
sɹɔɹk	sɹɔɹk
bɹuɹ	bɹuɹ
ɣis	gɪs
liɹf	lɪɹf
dɹu	dɹu
bɹuɹt	bɹuɹd
dɹæt	tɹat
suɹ	tuɹ
sɔɹn	tɔɹn
bɹup	bɹʊp
bɹuɹf	bɹʊɹf
bɹeɹk	bɹeɹk
ap	ab
ɹeɹt	ɹeɹd
gɹoɹt	kɹoɹd
iɹp	ɪɹp
zɔɹt	dɔɹd
bɹus	bɹus
zɔk	dɔg
fɹɔt	fɹɔd
fut	fʊd
sneɹn	sneɹn
bɹul	bɹul
fuk	fuk
nɔns	nɔns
lufp	lufp
qɔɹp	kɔɹb
sin	tin
nɹeɹp	nɹeɹb
nɔk	nɔk
fɹut	fɹud
ziɹs	diɹs
ɢuf	guf
lɹis	lɹis
bɹeɹp	bɹeɹp
sneɹk	sneɹg
fuɹl	fʊɹl
bɹip	pɹip
sɹiɹf	sɹiɹf
nɹek	nɹeg
zɛl	dɛl
nes	nes
zif	dɪf
tsuns	tsuns
tsiɹs	tsɪɹs
nɹɔɹt	nɹɔɹt
lɹuɹp	lɹuɹb
gɹæt	gɹad
bɹiɹn	bɹɪɹn
tsɛl	tsɛl
ɣɛɹt	gɛɹd
ɣiɹn	gɪɹn
sɔk	sɔg
bɹɛfp	pɹɛfp
snæp	snap
fɹæɹk	fɹaɹk
βɶɹl	baɹl
bɹɔɹk	pɹɔɹg
gɹuɹt	gɹʊɹt
dɹik	tɹɪg
gɹɔ	gɹɔ
sufp	sufp
ɸuɹf	puɹf
dɹuk	tɹug
tsoɹ	tsoɹ
dɹu	tɹʊ
ɸœɹl	pɛɹl
siɹs	siɹs
lɹut	lɹʊt
sɹus	sɹʊs
up	ub
snik	snɪg
nɹæl	nɹal
zin	dɪn
loɹp	loɹp
fɹit	fɹɪt
suɹf	sʊɹf
læp	lab
niɹk	niɹk
tæn	tan
dɹiɹt	dɹɪɹt
dɹɛst	dɹɛst
βɶf	baf
dɹiɹp	dɹɪɹb
uɹl	ʊɹl
bɹæt	pɹad
fɹut	fɹut
ɛk	ɛk
tsi	tsi
zɔt	dɔt
snus	snus
nɹæɹ	nɹaɹ
bɹuɹ	pɹuɹ
liɹt	lɪɹd
gɹun	gɹʊn
bɹæɹt	bɹaɹt
ziɹk	diɹk
lɹens	lɹens
gɹuɹl	kɹʊɹl
dɹuɹs	dɹuɹs
gɹɔɹs	kɹɔɹs
snɔɹp	snɔɹb
sɛst	tɛst
neɹl	neɹl
kæɹ	kaɹ
neɹp	neɹp
tsuɹl	tsuɹl
gɹoɹl	kɹoɹl
nɹiɹp	nɹɪɹp
tsuk	tsuk
nɹefp	nɹefp
gɹeɹf	gɹeɹf
næɹn	naɹn
lɹuɹk	lɹuɹk
bɹɛɹk	pɹɛɹg
fɔɹp	fɔɹp
zɛɹs	dɛɹs
gæt	gat
iɹk	ɪɹk
ɸɶl	pal
dɹuɹn	dɹuɹn
dɹeɹk	tɹeɹk
nɛns	nɛns
dɹes	dɹes
tsek	tsek
ɸul	pul
lɹiɹ	lɹɪɹ
lɛɹs	lɛɹs
βuɹf	buɹf
gɹɛɹs	gɹɛɹs
sɹil	sɹil
qus	kus
gɹɔɹt	gɹɔɹt
bɹɔt	bɹɔd
sist	sist
nup	nub
βøst	best
pɸɛɹl	pfɛɹl
tsos	tsos
dɹiɹf	dɹiɹf
sɹɔn	sɹɔn
niɹf	niɹf
ɹiɹs	ɹɪɹs
bɹik	bɹɪk
gɹoɹn	kɹoɹn
nɹoɹ	nɹoɹ
fɹet	fɹed
bɹoɹk	pɹoɹk
bɹuɹp	bɹuɹp
gɹifp	kɹɪfp
qɔk	kɔg
sɔɹp	sɔɹp
xiɹk	kɪɹg
bɹɛp	bɹɛb
sɹok	sɹok
sup	tub
zɛp	dɛb
gɹus	gɹus
gɹuɹn	kɹuɹn
bɹæɹf	bɹaɹf
pɸoɹn	pfoɹn
lo	lo
næt	nad
gɹoɹn	gɹoɹn
sot	tot
pɸæt	pfat
ɹuns	ɹʊns
zof	dof
fɹuns	fɹʊns
fɔɹk	fɔɹg
βɶ	ba
pɸɔ	pfɔ
ɸun	pʊn
suf	suf
pɸæɹt	pfaɹt
gɹuɹp	gɹuɹb
ɢon	gon
fɹɛ	fɹɛ
niɹn	nɪɹn
zup	dʊp
βuɹ	bʊɹ
βœfp	bɛfp
gɹis	gɹɪs
sut	sut
nɹens	nɹens
siɹn	tiɹn
fuk	fug
zep	dep
ɢuk	gug
sɹiɹp	sɹiɹp
gɹep	kɹep
fɹiɹp	fɹiɹb
bɹufp	pɹʊfp
fɹiɹl	fɹiɹl
dæɹl	daɹl
lɹoɹk	lɹoɹk
fɹok	fɹog
lɹin	lɹin
pɸofp	pfofp
nɛp	nɛp
dɹuɹl	dɹʊɹl
ɣɛs	gɛs
ɹun	ɹun
nut	nut
feɹf	feɹf
tsef	tsef
bɹɛk	bɹɛg
gɹist	kɹist
suk	suk
nɹæɹs	nɹaɹs
sɹɛp	sɹɛp
bɹuɹk	bɹʊɹg
ɹe	ɹe
ɢuɹt	guɹt
snæɹs	snaɹs
fɹɛɹf	fɹɛɹf
ɹit	ɹid
nit	nid
sæɹt	saɹd
nɹæp	nɹap
fɛɹk	fɛɹg
dɹup	dɹup
byɹk	bɪɹk
bɹæk	pɹak
bɹiɹp	bɹiɹp
lɹuɹs	lɹʊɹs
dɹot	dɹot
bɹɔɹp	bɹɔɹb
sɛɹp	tɛɹb
gɹit	kɹid
βis	bis
ist	ɪst
fɹut	fɹʊd
gɹiɹs	kɹiɹs
zu	du
snɔp	snɔp
ɣɛn	gɛn
fo	fo
sit	sit
sɔɹ	tɔɹ
βøs	bes
lus	lʊs
sɔfp	tɔfp
fɹeɹs	fɹeɹs
pɸɔɹp	pfɔɹp
luɹp	lʊɹb
sɛɹk	sɛɹg
al	al
pɸæst	pfast
βuɹt	buɹd
byp	bɪp
pɸiɹ	pfɪɹ
pɸeɹt	pfeɹd
bɹɛɹs	bɹɛɹs
gɹuns	kɹʊns
næst	nast
dɹɛɹt	tɹɛɹd
læt	lat
lɹiɹp	lɹɪɹb
qoɹt	koɹt
na	na
pɸæɹ	pfaɹ
lɹɔst	lɹɔst
ɹup	ɹup
ɣɛp	gɛb
nɹa	nɹa
nɹus	nɹʊs
ɸup	pub
et	ed
ut	ʊt
fist	fist
gɹæɹn	gɹaɹn
nɹuɹ	nɹuɹ
βuɹk	bʊɹk
nɹæfp	nɹafp
xɛp	kɛp
niɹf	nɪɹf
sik	sɪg
zuɹf	duɹf
ɛfp	ɛfp
ɹoɹk	ɹoɹg
fɛl	fɛl
dɹen	tɹen
ɸot	pod
sɹest	sɹest
fif	fɪf
ɹɛɹp	ɹɛɹb
ens	ens
ɸøɹl	peɹl
lɹɔɹt	lɹɔɹt
ɣiɹk	gɪɹk
dɹuɹk	tɹuɹg
gɹæɹk	kɹaɹk
lok	log
sniɹs	snɪɹs
gɹoɹp	gɹoɹb
βun	bʊn
snæɹt	snaɹt
sens	sens
gɹot	gɹod
suɹk	tuɹg
nɹufp	nɹufp
bɹoɹp	bɹoɹb
xis	kis
dɹip	tɹɪb
nɹiɹk	nɹiɹg
βøt	bet
gɹɛk	gɹɛg
foɹt	foɹd
lik	lig
lɹæɹt	lɹaɹd
nut	nud
dɹiɹk	tɹiɹg
ɹuɹl	ɹuɹl
siɹt	siɹd
gɹuɹn	gɹʊɹn
nik	nik
ɹɔɹp	ɹɔɹp
ɸɔɹp	pɔɹb
dɹæɹl	tɹaɹl
nɹɛɹk	nɹɛɹg
dɹiɹk	tɹɪɹk
gɹoɹp	gɹoɹp
eɹt	eɹt
nif	nɪf
gɹofp	kɹofp
tsuɹl	tsʊɹl
xet	ket
snɔl	snɔl
gɹul	gɹʊl
ɢu	gʊ
zot	dot
ɹis	ɹis
tses	tses
ɢust	gust
los	los
ɹɛɹn	ɹɛɹn
lɹɔɹk	lɹɔɹg
ɸust	pʊst
gɹɔfp	kɹɔfp
pɸuf	pfʊf
sip	tip
sip	sɪb
bɹɛk	pɹɛk
fɹus	fɹʊs
pɸuk	pfug
ɔɹs	ɔɹs
ɣɛɹf	gɛɹf
gɹæst	gɹast
ɸiɹp	piɹp
lɛs	lɛs
gɹuf	gɹuf
gɹuɹs	gɹuɹs
ɣɛl	gɛl
ɸuɹl	pʊɹl
βœɹ	bɛɹ
siɹp	siɹp
gɹæt	kɹad
gɹep	gɹep
foɹ	foɹ
lɹeɹt	lɹeɹt
lɹuns	lɹuns
gɹæf	kɹaf
gɹit	gɹit
bɹɛp	bɹɛp
fæp	fap
bɹɔɹt	bɹɔɹd
nɹins	nɹɪns
nuɹp	nuɹp
sniɹn	snɪɹn
bɹiɹk	bɹɪɹg
dɹiɹk	tɹɪɹg
fɹuk	fɹuk
suns	suns
feɹl	feɹl
zuɹp	dʊɹb
ɢuɹl	gʊɹl
βɶɹk	baɹg
qɔɹ	kɔɹ
nɹofp	nɹofp
ɹɔt	ɹɔd
zoɹk	doɹg
ɹæɹt	ɹaɹt
dɹuɹp	dɹuɹp
gæk	gag
gɹɔns	gɹɔns
gɹin	kɹin
xen	ken
nen	nen
ɸu	pʊ
ɹɔɹf	ɹɔɹf
pɸɔk	pfɔg
ɣiɹf	gɪɹf
snæp	snab
nɹæɹf	nɹaɹf
bɹa	bɹa
